icao,lat,lon
0TS2,32.9487,-97.3289
0TS4,30.0919,-96.795
0TS5,30.4419,-95.1863
0TS7,32.8335,-98.1253
0TS8,26.1504,-97.8836
0TS9,30.0155,-97.7372
0TX0,32.4196,-97.7128
0TX1,32.354,-97.6764
0TX5,33.024,-97.1197
0TX6,29.5052,-97.9969
0TX7,32.9501,-97.1503
0TX8,33.1804,-96.0433
0TX9,33.2501,-96.1169
0U0,44.6424,-115.533
0U1,44.1421,-115.314
0U2,43.8018,-113.831
0U3,44.7446,-114.921
0U7,43.3249,-113.588
0U8,44.6102,-113.896
0U9,44.4616,-116.758
0V2,38.5392,-106.046
0V3,40.5149,-98.9456
0V4,37.1417,-79.0164
0V5,38.6057,-77.5847
0V6,43.3069,-100.628
0V7,36.7097,-110.237
0VA1,37.2335,-79.5853
0VA2,37.7965,-79.7667
0VA3,37.6988,-77.0953
0VA4,36.9501,-79.8795
0VA5,37.6943,-77.6617
0VA7,37.5232,-77.8194
0VA8,37.2858,-77.7912
0VA9,37.4474,-76.4538
0VI1,37.6904,-77.0886
0W0,47.6276,-122.332
0W3,39.5667,-76.2022
0W7,48.7282,-122.336
0WA0,46.8434,-122.476
0WA1,46.6171,-122.826
0WA2,46.5904,-123.105
0WA5,46.8918,-122.381
0WI1,45.5072,-92.1419
0WI2,43.2014,-88.3334
0WI4,43.8294,-89.3526
0WI5,42.7934,-87.8906
0WI6,42.8736,-88.1579
0WI7,44.1336,-88.4993
0WI8,43.1389,-88.4723
0WI9,42.9314,-89.3387
0WN5,42.7997,-88.0487
0XS0,28.4003,-99.5587
0XS1,29.2878,-96.3497
0XS2,30.5549,-100.534
0XS6,30.501,-98.147
0XS7,29.1919,-100.275
0XS8,29.0761,-100.375
0XS9,28.9378,-95.7502
0Y4,43.1625,-95.4669
0Y6,43.4166,-93.5085
0Z2,63.1082,-147.532
0Z3,59.059,-158.577
10AK,61.5914,-149.678
10AZ,33.3667,-112.619
10C,42.4029,-88.3751
10CL,35.368,-119.195
10CO,39.4547,-102.213
10D,44.95,-94.0669
10F,33.0154,-98.6253
10FA,28.7975,-81.9359
10FD,30.588,-85.0699
10G,40.5372,-81.9544
10GA,33.3251,-84.2983
10IA,42.4167,-92.2502
10ID,43.4944,-113.922
10IN,39.7184,-85.0489
10IS,38.6987,-90.0625
10K,41.4708,-98.7462
10LA,30.2474,-92.096
10M,44.8142,-70.3453
10MA,42.2626,-72.307
10MN,46.4375,-93.9561
10MO,38.9145,-91.7043
10MT,47.8333,-106.484
10ND,47.1875,-102.362
10OH,41.4028,-82.6291
10OK,35.1667,-97.217
10OR,45.7893,-123.232
10TE,29.6669,-97.5003
10TS,29.5525,-98.1031
10U,41.9532,-116.188
10VA,37.3863,-78.8131
10WA,47.5546,-117.413
10WI,45.1158,-88.1895
11A,31.8833,-85.4849
11AK,63.9996,-145.502
11AZ,31.6837,-110.29
11CA,36.6733,-119.722
11CL,34.63,-117.653
11FA,25.5837,-80.4998
11FL,30.043,-81.8809
11G,42.9211,-82.5855
11ID,42.1855,-116.113
11II,39.3417,-86.0305
11IN,39.8189,-86.5381
11J,31.3956,-84.893
11K,41.1292,-97.5776
11KS,39.1167,-95.1489
11L,34.835,-114.957
11LA,29.2588,-89.353
11LL,40.7231,-88.7631
11M,34.352,-88.3773
11MA,41.8073,-70.7584
11MN,47.6778,-93.0482
11MO,38.9017,-91.6352
11MT,46.9791,-112.005
11N,41.5668,-73.4662
11ND,47.4253,-102.384
11NE,42.4425,-103.916
11NY,42.209,-76.4497
11OA,39.6431,-82.4668
11OG,44.4513,-118.187
11OH,40.6639,-82.8546
11OK,35.0723,-97.3836
11OR,43.3935,-123.285
11Q,36.7036,-120.135
11R,30.219,-96.3743
11S,48.2665,-124.307
11TE,32.3001,-97.2045
11TS,31.6579,-96.4114
11TX,33.6668,-96.6906
11V,40.3305,-104.609
11WA,47.5238,-117.47
11WN,43.3542,-89.5712
11Z,63.9106,-149.024
12AR,35.1784,-92.3354
12AZ,33.8539,-112.653
12CA,38.1096,-121.169
12CL,36.1569,-119.85
12CO,38.8355,-107.815
12D,47.8183,-92.2917
12FA,28.4786,-81.7145
12G,40.8729,-82.6974
12I,39.5106,-84.998
12ID,44.968,-114.733
12II,39.8562,-84.9722
12IL,41.2,-88.0167
12IN,38.1186,-87.6475
12J,31.0506,-87.0656
